0_°C_isoterma	eus-30-80000745-n	 Eremu jakin batean, aireak 0 <kar:gradu>C-ko tenperatura konstantea duen atmosferako mailarik baxuena
abagune	eus-30-07416714-n	 momentu erabakigarri batean ematen den gertaera
abagune	eus-30-14483917-n	 zerbaitetarako unea, egokiera, aukera, besterik adierazten ez bada ona
abal	eus-30-13349395-n	 letra edo beste kreditu-dokumentu batean hirugarren batek sinadura bidez hartzen duen konpromisoa, zordunaren betebehar ekonomikoen erantzule gertatuz
abar	eus-30-13163250-n	 landare baten gorputz, ardatz edo egitura orokorretik ateratzen den adarkadura
abeltzaintza	eus-30-00920062-n	 abeltzainaren bizibidea, abereak zaintzeko lanbidea edo jardunbidea
abendu	eus-30-15213774-n	 urtearen azken hilabetea, hamabigarrena
abentura	eus-30-00796315-n	 aparteko gertaera edo ekintza arriskutsu edo segurtasunik gabea
abere	eus-30-00015388-n	 sentitzeko eta berez mugitzeko gauza den izaki bizia
abere_xehe	eus-30-80000502-n	 Abere-moten artean xeheena, hala nola ardia eta ahuntza
aberri	eus-30-08510169-n	 sorterria, bereziki naziotzat hartzen denean
abertzale	eus-30-10407310-n	 aberria maite duena, aberriaren alde saiatzen edo borrokatzen dena
abiada	eus-30-05058580-n	 higikari, ibilgailu edo tresna baten higidura edo funtzionamenduaren lastertasun-maila
abiadura	eus-30-05058580-n	 higikari, ibilgailu edo tresna baten higidura edo funtzionamenduaren lastertasun-maila
abiadura_finkoko_helize	eus-30-80000669-n	 Hari-neurria aldagarria duen helize-mota. Hari-neurria aldatzeko, besoen eraso-angelua errotazio-abiaduraren arabera aldatzen da. Motorraren errotazio-abiadura konstante atxikitzea izan ohi da helburua, hartara ahalik eta optimizatuen atxikitzeko propultsioa.
abiadura_handiko_abonatu-linea_digital	eus-30-80000587-n	 Linearen noranzko bietan abiadura handiko datu-transmisio digitala lortzeko teknologia, kobre-parea darabilena. Bezeroaren eta zentralaren arteko distantzia 3,5 eta 4,5 km artekoa denean erabiltzen da; zenbat eta distantzia handiagoa izan, transmisio-abiadura txikiagoa da (160 kbps eta 1,5 Mbps artekoa)
abiadura_kritiko	eus-30-80000410-n	 Arrazoiren batengatik berebiziko garrantzia duela jotzen den abiadura: airean irauteko gutxienekoa delako, konpresioaren ondorioak agertzen hasten direlako, Mach zenbaki kritikoren bati dagokiolako, dardarizo jasanezinak eragiten direlako nahiz egonkortasuna ez delako segurua. Esaterako, aireontzi-ereduaren arabera ezartzen da aireratzeko unean behar den gutxieneko abiadura: pistaren puntu jakin batean ez bada hura lortu, pilotuak abortatu egin behar du aireratzea, eta aurrera jarraitu behar du nahitaez, abiadura hura lortu baldin bada.
abiadura-triangelu	eus-30-80000678-n	 Aireontzi baten hegaldiari haizeak nola eragiten dion adierazten duen bektore-diagrama. Haizearen bektorea, aireontziaren norabide-bektorea eta benetako ibilbide-bektorea biltzen ditu.
abilezia	eus-30-05640433-n	 zerbait egiteko, zerbaitetan aritzeko gai denaren nolakotasuna
abioi	eus-30-02691156-n	 airea baino astunagoa den aire-ibilgailua, hego-itxurako azal finkoen bidez airean mantentzen da eta helize- edo erreakzio-motor bidez propultsatzen da
abizen	eus-30-06336904-n	 familia-izena
abokatu	eus-30-10249950-n	 judizioan, idatziz edo hitzez, auzilarien eskubideak eta interesak defendatzen dituen eta lege-arazoei buruz aholku teknikoa ere ematen duen profesionala
abonatu-linea_digital_simetriko	eus-30-80000586-n	 Linearen noranzko bietan abiadura handiko datu-transmisio digitala ahalbidetzen duen teknologia, kobre-parea darabilena. HDSL teknologiaren antzekoa da, eta abiadura bera eskaintzen du (160 kbit/s eta 1,5 Mbit/s bitartekoa). HDSL ez bezala, ordea, SDSL telefono-linea bakarrarekin ere erabil daiteke; gainera, SDSLren kasuan, bezeroaren eta zentralaren artean 3 kilometrotik behera egon behar dira
aburu	eus-30-00874067-n	 epaitzea edo ebaluatzea (ekintza)
aburu	eus-30-05945642-n	 zerbaitez edo norbaitez eta bereziki gai edo arazo eztabaidagarri batez pentsatzen dena, hari buruzko ustea
aburu	eus-30-06782019-n	 zerbaiti buruzko ustea adierazten duen mezua
abuztu	eus-30-15212455-n	 urtearen zortzigarren hila (31 egun)
adabegi	eus-30-15102712-n	 moztu, ihartu edo eroritako adarrek zurean utzitako akatsa, eskuarki gainerakoa baino kolore ilunagokoa
